Associated_AAD_YPLL_Years ,LocationAbbr,LocationDesc,DataSource,Data_Value_Unit,ConditionType,Category,Cause_of_Death,Direct_AAF,Direct_AAF_Alt,Indirect_AAF_Low,Indirect_AAF_Low_Alt,Indirect_AAF_Medium,Indirect_AAF_Medium_Alt,Indirect_AAF_High,Indirect_AAF_High_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,ConsumptionPattern,Sex,AgeGroup,LocationID,ConditionTypeID,CategoryID,Cause_of_Death_ID,ConsumptionID,SexID,AgeGroupID,DataValueUnitID
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Drowning,0.34,0.34,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,DROWNI,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Drowning,0.34,0.34,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,DROWNI,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Fall injuries,0.32,0.32,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,FALLIN,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Fall injuries,0.32,0.32,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,FALLIN,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Fire injuries,0.42,0.42,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,FIREIN,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Fire injuries,0.42,0.42,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,FIREIN,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Firearm injuries,0.18,0.18,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,FIREAR,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Firearm injuries,0.18,0.18,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,FIREAR,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Homicide,0.47,0.47,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,HOMICI,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Homicide,0.47,0.47,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,HOMICI,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Hypothermia,0.41,0.41,,,,,,,,,Any Alcohol Use,Female,Overall,56,ACUTE,CAT9,HYPOTH,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,WY,Wyoming,ARDI,Alcohol-Attributable Fractions,Acute,Other Acute Causes,Hypothermia,0.41,0.41,,,,,,,,,Any Alcohol Use,Male,Overall,56,ACUTE,CAT9,HYPOTH,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Alcohol-Related Poisonings,Alcohol poisoning,1.00,1,,,,,,,,,Any Alcohol Use,Female,Overall,99,ACUTE,CAT6,ALCPOI,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Alcohol-Related Poisonings,Alcohol poisoning,1.00,1,,,,,,,,,Any Alcohol Use,Male,Overall,99,ACUTE,CAT6,ALCPOI,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),0.29,0.29,,,,,,,,,Any Alcohol Use,Female,Overall,99,ACUTE,CAT6,OTHPOI,ANYALC,GENF,Age0,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),0.29,0.29,,,,,,,,,Any Alcohol Use,Male,Overall,99,ACUTE,CAT6,OTHPOI,ANYALC,GENM,Age0,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,0.13,0.13,,,,,,,,,Any Alcohol Use,Female,65+,99,ACUTE,CAT7,MTVTRA,ANYALC,GENF,AgeO,5YEARSAVG
2015-2019,US,United States,ARDI,Alcohol-Attributable Fractions,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,0.17,0.17,,,,,,,,,Any Alcohol Use,Male,65+,99,ACUTE,CAT7,MTVTRA,ANYALC,GENM,AgeO,5YEARSAVG
